project_id,donor,title,year,year_uncertain,description,crs_sector_code,crs_sector_name,sector_comment,status,status_code,flow,all_recipients,sources,sources_count,funding_agency,implementing_agency,donor_agency,donor_agency_count,recipient_agencies,recipient_agencies_count,verified,verified_code,flow_class,flow_class_code,intent,intent_code,active,active_code,factiva_sources,amount,currency,deflators_used,exchange_rates_used,usd_defl,usd_current,start_actual,start_planned,end_actual,end_planned,recipient_count,recipient_condensed,recipient_cow_code,recipient_oecd_code,recipient_oecd_name,recipient_iso3,recipient_iso2,recipient_un_code,recipient_imf_code,debt_uncertian,line_of_credit,is_cofinanced,is_ground_truthing,loan_type,interest_rate,maturity,grace_period,grant_element,updated_at,location_details,contacts,is_official_finance,SFD Official Loan,source_triangulation,field_completeness,Total Health of Record Score (triangulation + completeness)
32910,Saudi Arabia,"Saudi Campaign for Syria Distributes 46,000 meals to Refugees in Jordan",2013,FALSE,"On July 31, 2013, the Saudi Campaign to Support Brothers in Syria distributed 21000 meals to Syrian refugees in Erbed, Jordan and planned to distribute 25000 meals on August 1 in Amman. The campaign also distributed over 170000 cans of meat to Syrian refugees in Al-Zaatari camp. Saudi Aabia cooperated with several local charity institutions including the Al-Shura Association and Save the Children. ",700,Emergency Response,,Completion,3,Grant,Jordan,"https://web.archive.org/web/20130922162815/http://www.saudiembassy.net/latest_news/news08011301.aspx, Government Source (Donor/Recipient)",1,,,,,,,Checked,1,ODA-like,2,Development,1,Active,1,,,,,,,,,,,,1,Jordan,663,549,Jordan,JOR,JO,400,439,FALSE,FALSE,FALSE,FALSE,,,,,,15-07-22 14:25,Irbid,"Saad bin Muhanna Al-Suwayed, Campaign Director in Aman ",1,,3,6,9
33001,Saudi Arabia,Saudi Campaign's Second Syrian Relief Convoy Launched to Jordan,2012,FALSE,"On August 7, 2012 the Saudi Campaign for the support of the brothers in Syria delivered the first aid convoy of humanitarian relief to the Mudawara border crossing. The aid was stored in Jordan Hashemite Charity Organization warehouses in Mafraq. The Saudi Campaign launched a second relief convoy to deliver aid to Syrian refugees in Jordan on August 13, 2013 consisting of 35 trucks carrying 700 tons of emergency foods, medical supplies, and other assistance to Al-Zaatari camp in Al-Mafraq. The campaign also distributed food baskets and health supplies, and a second envoy was expected to arrive within several days. Additionally, the campaign has collected 539.27 million SR in monetary contributions.",700,Emergency Response,,Completion,3,Grant,Jordan,"https://web.archive.org/web/20130901040624/http://saudiembassy.net/latest_news/news08141202.aspx, Government Source (Donor/Recipient); http://english.alarabiya.net/articles/2012/08/07/230970.html, Media Report, including Wikileaks",2,,,,,,,Checked,1,ODA-like,2,Development,1,Active,1,,,,,,,,,,,,1,Jordan,663,549,Jordan,JOR,JO,400,439,FALSE,FALSE,FALSE,FALSE,,,,,,14-10-06 13:56,"Zaatari camp, Al-Mafraq ","Saad bin Mahanna Al-Suwayed, Director of Campaign in Aman ",1,,3,6,9
32655,Saudi Arabia,Saudi king send 500 tons wheat to Syrian refugees in Jordan (linked to project ID #32658),2013,FALSE,"In January 2013, King Abdullah Bin Abdul Aziz ordered 500 tons of wheat to be sent to Syrian refugees in Zaatari camp in Jordan. The wheat arrived loaded in three hundred trucks, said Badr al-Samhan, regional manager of the Saudi national campaign for the Syrian people. This project is linked to project ID #32658",700,Emergency Response,,Completion,3,Grant,Jordan,"https://global.factiva.com/aa/?ref=ALARAB0020130113e91c000b7&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",1,,,,,,,Checked,1,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=ALARAB0020130113e91c000b7&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",,,,,,,,,,,1,Jordan,663,549,Jordan,JOR,JO,400,439,FALSE,FALSE,FALSE,FALSE,,,,,,14-10-02 14:55,Zaatari camp,"Badr al-Samhan, Regional manager of the Saudi campaign for Syrian people ",1,,0,6,6
32658,Saudi Arabia,"Saudi Interior Minister sends 2,000 tents to Syrian refugees in Jordan (link to ID#32655)",2013,FALSE,"In late 2012, Saudi Interior Minister Prince Mohammed Bin Nayif ordered 2,000 tents for Zaatari refugees after high waters flooded the refugee camp. Other aid to Zaatari refugees in Jordan included 500 tons of wheat provided by King Abdullah Bin Abdulaziz, as well as 1500 trailers for refugees. As of Nov 12, 2012, only 160 of the 2000 tents had been delivered. This project is linked to project ID #32655 ",700,Emergency Response,,Implementation,2,Grant,Jordan,"https://global.factiva.com/aa/?ref=ALARAB0020130113e91c000b7&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.moi.gov.sa/wps/portal/!ut/p/b1/jc5LC4JAFAXgXxT3OledcTlI8xAxTLOcjcxCQvCxiX5_Fq2CrLM78B044KANEkbEE8FjuICb_X24-tuwzH58dhd3umgq0oYCVHWItgwOjKkINaMVtCtItTQhzxFFriO00pyOSUmEkv7b45dI_LWv-hnO4D6Z3a_MZhnphtKavcHWzRfY-FGYZephcqMSld09AJZ1p1g!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2X0dOVlMzR0gzMTBPQkQwSVExNDk5UEoxR1Az/?WCM_GLOBAL_CONTEXT=/wps/wcm/connect/moi+diwan/moi+home+content/home/news/news+archive/moi_news_12-01-2013a_en, Government Source (Donor/Recipient); http://en.ria.ru/world/20121119/177589765.html, Media Report, including Wikileaks; http://en.ria.ru/world/20121119/177589765.html, Media Report, including Wikileaks",4,,,,,,,Checked,1,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=ALARAB0020130113e91c000b7&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",,,,,,,,,,,1,Jordan,663,549,Jordan,JOR,JO,400,439,FALSE,FALSE,FALSE,FALSE,,,,,,14-09-02 13:38,Zaatari Camp,"Prince Mohammed Bin Nayif, Saudi Minister of the Interior ",1,,5,5,10
33005,Saudi Arabia,Saudi Medical Clinics for Syrian Refugees Open in Jordan,2012,FALSE,Saudi Ambassador to Jordan Fahd bin Abdulmohsen Al-Zaid opened a group of Saudi medical clinics in Amman today at the Zaateri refugee camp. The facilities will provide treatment to Syrian refugees in Jordan. The inauguration was attended by Jordanian Minister of Health Abdullatif Wreikat; GCC ambassadors to Jordan; representatives of the United Nations High Commissioner for Refugees (UNHCR); and a number of Jordanian officials. The financial details are unclear. ,120,Health,,Implementation,2,Grant,Jordan,"https://web.archive.org/web/20130831231155/http://saudiembassy.net/latest_news/news09051203.aspx, Government Source (Donor/Recipient); http://www.arabnews.com/news/575986, Media Report, including Wikileaks",2,,"UNHCR, International NGO",,,,,Checked,1,ODA-like,2,Development,1,Active,1,,,,,,,,,,,,1,Jordan,663,549,Jordan,JOR,JO,400,439,FALSE,FALSE,FALSE,FALSE,,,,,,14-10-02 14:49, Zaateri refugee camp,"Fahd bin Abdulmohsen Al-Zaid , Saudi Ambassador to Jordan ",1,,3,6,9
32631,Saudi Arabia,Saudi Arabia to Host Training for Jordanian Physicians,2010,FALSE,"On January 13, 2010 Jordan and Saudi Arabia signed an agreement for a joint program regarding organ transplantation cooperation. The agreement was signed between Minister of Health Nayef Al Fayex an Saudi Minister of Health Abdullah Abdul Aziz Al-Rabeeah in Riyadh. Jordanian physicals would receive specialized training courses in Saudi Arabia and the executive plan detailed operation of 14 hospitals in northern Saudi Arabia by Jordanian medical technicians. ",120,Health,organ transplantation services,Pipeline: Commitment,11,Scholarships/training in the donor country,Jordan,"https://global.factiva.com/aa/?ref=JONAG00020100114e61d0000b&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",1,,,,,,,Checked,1,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=JONAG00020100114e61d0000b&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",,,,,,,,,,,1,Jordan,663,549,Jordan,JOR,JO,400,439,FALSE,FALSE,FALSE,FALSE,,,,,,14-08-29 16:17,,"Abdullah Abdul Aziz Al-Rabeeah, Saudi Health Minister ; Nayef Al Fayez, Jordan Minister of Health ",1,,0,5,5
33029,Saudi Arabia,Saudi Arabia Performs Surgery for Jordanian Conjoined Twins,2010,FALSE,"On April 30, 2010 Minister of Health Dr. Abdullah bin Abdulaziz Al-Rabeeah announced the success of an operation to separate two conjoined Jordanian twins, Mohammed and Amjad, who were brought to Riyadh for medical treatment under the directive and at the expense of the Custodian of the Two Holy Mosques King Abdullah bin Abdulaziz. Dr. Al-Rabeeah headed the surgical team that conducted the complex seven hour procedure, and the boys are now in stable condition in the intensive care unit of the King Abdulaziz Medical in Riyadh. A total of seventy consultants, specialists and nurses and a support team of 200 took part in the operation. At a press conference, Dr. Al-Rabeeah noted that Saudi Arabia has thus far conducted 58 such separations, making it the first in the world in that type of operation. ",120,Health,,Completion,3,Grant,Jordan,"https://web.archive.org/web/20110106025830/http://saudiembassy.net/latest_news/news04301002.aspx, Government Source (Donor/Recipient)",1,,,,,,,Checked,1,OOF-like,3,Representational,3,Active,1,,,,,,,,,,,,1,Jordan,663,549,Jordan,JOR,JO,400,439,FALSE,FALSE,FALSE,FALSE,,,,,,14-08-29 16:34,,"Dr. Abdullah bin Abdulaziz Al-Rabeeah, Minister of Health ",1,,3,6,9
32908,Saudi Arabia,Ambassador Delivers Dates to Royal Jordanian Court,2013,FALSE,"In March 2013 Saudi Arabia donated 200 tons of dates to the Royal Jordanian Court. The donation was handed over by Saudi Ambassador to Jordan Fahd bin Abdulmohsen Al-Zaid, who said it reflected the friendly relations between the two.",520,Developmental Food Aid/Food Security Assistance,,Completion,3,Grant,Jordan,"https://web.archive.org/web/20130922161027/http://www.saudiembassy.net/latest_news/news03191301.aspx, Government Source (Donor/Recipient)",1,,,,,,,Checked,1,ORA-2,16,Mixed (Some Development),6,Active,1,,,,,,,,,,19-Mar-13,19-Mar-13,1,Jordan,663,549,Jordan,JOR,JO,400,439,FALSE,FALSE,FALSE,FALSE,,,,,,15-08-04 13:39,,"Fahd bin Abdulmohsen Al-Zaid, Saudi Ambassador to Jordan ",1,,3,6,9
33193,Saudi Arabia,"Saudi Arabia Donates Dates For Eid Al-Adha To Syrian Refugees In Zaatari Camp, Jordan",2013,FALSE,"In October 2013, a second ration of 100 tons dates donated by the Kingdom of Saudi Arabia's Ministry of Agriculture was delivered to Syrian refugees in the Zaatari Camp in Jordan for Eid Al-Adha. This project was implemented through the World Food Program, and each family received about 2 kilograms of dates.",520,Developmental Food Aid/Food Security Assistance,,Completion,3,Grant,Jordan,"http://www.wfp.org/news/news-release/saudi-arabia-donates-dates-eid-al-adha-syrian-refugees-zaatari-camp-jordan, Implementing/Intermediary Agency Source; http://wfp.tumblr.com/post/63730767635/jordan-zaatari-refugee-camp-october-2013-in, Implementing/Intermediary Agency Source; http://ar.wfp.org/news/news-release/35330, Media Report, including Wikileaks; http://arabic.yenisafak.com/ekonomi-haber/24.10.2013-5805, Media Report, including Wikileaks; http://www.roayahnews.com/%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9-%D8%AA%D8%AA%D8%A8%D8%B1%D8%B9-%D8%A8%D9%80-100-%D8%B7%D9%86-%D8%AA%D9%85%D8%B1-%D9%84%D9%84%D8%A7%D8%AC%D8%A6%D9%8A%D9%86-%D8%A7%D9%84%D8%B3%D9%88/23-195307.html, Media Report, including Wikileaks",5,,"World Food Program (WFP), Multilateral",,,,,Checked,1,ORA-2,16,Development,1,Active,1,,,,,,,,,,,,1,Jordan,663,549,Jordan,JOR,JO,400,439,FALSE,FALSE,FALSE,FALSE,,,,,,15-08-04 15:09,Camp Zaatari,,1,,4,7,11
33025,Saudi Arabia,Saudi Arabia Provides 150 Tons of Dates to Jordan,2010,FALSE,"Saudi Arabia handed over 150 tons of dates to the Jordanian Hashemite Charity Organization (JHCO) in Amman today. In a statement on the occasion, JHCO Secretary General Ahmad Al-Imyan thanked the Kingdom for the gift, noting that the dates will be distributed among needy families before the advent of the holy month of Ramadan.",520,Developmental Food Aid/Food Security Assistance,,Completion,3,Grant,Jordan,"https://web.archive.org/web/20110106030718/http://saudiembassy.net/latest_news/news07111001.aspx, Government Source (Donor/Recipient); http://www.saudiembassy.net/files/PDF/Publications/Focus/2010/10-FOCUS-07-13.pdf, Government Source (Donor/Recipient)",2,,,,,,,Checked,1,ORA-2,16,Mixed (Some Development),6,Active,1,,,,,,,,,,,,1,Jordan,663,549,Jordan,JOR,JO,400,439,FALSE,FALSE,FALSE,FALSE,,,,,,15-08-04 15:19,,"Ahmad Al-Imyan, JHCO Secretary General ",1,,3,6,9
33109,Saudi Arabia,Saudi Arabia Sends 200 Tons of Food Aid to Mali,2013,FALSE,"In February 2013 Saudi Arabia sent 200 tons of food assistance to Mali. Two planes, sent under the directives of the Custodian of the Two Holy Mosques King Abdullah bin Abdulaziz, arrived at Bamako International Airport carrying 9300 boxes containing cooking oil, rice, white flour, milk, sugar, and pasta and were received by Saudi Ambassador to Mali Naheth bi Abdurrahman Al-Harbi, Mali's Ministers of work and Solidarity, Health, And Religious Affairs, and Finance Ministry representatives.",520,Developmental Food Aid/Food Security Assistance,,Completion,3,Grant,Mali,"https://global.factiva.com/aa/?ref=SAUDPA0020130209e92900001&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://web.archive.org/web/20130922153226/http://www.saudiembassy.net/latest_news/news02081301.aspx, Government Source (Donor/Recipient); http://www.mofa.gov.sa/sites/mofaen/ServicesAndInformation/news/ministrynews/Pages/ArticleID2013211143639585.aspx, Government Source (Donor/Recipient)",3,,,,,,,Checked,1,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=SAUDPA0020130209e92900001&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",,,,,,,,,,,1,Mali,432,255,Mali,MLI,ML,466,678,FALSE,FALSE,FALSE,FALSE,,,,,,14-07-14 14:03,,"Naif bin Abdullah Al-Toaim, Representative (Ministry of Finance)",1,,3,6,9
32897,Saudi Arabia,7000 food baskets to Pakistan,2010,FALSE,"On September 23, 2010 the Campaign of the Custodian of the Two Holy Mosques to Provide Relief for the Pakistani People distributed 7000 food baskets in flood stricken Charsadda in northwest Pakistan. Saudi Ambassador to Pakistan Abdulaziz Al-Ghadeer and other Saudi and Pakistani officials participated in the distribution, part of larger efforts of Saudi Arabia for Pakistan's flood relief. ",700,Emergency Response,,Completion,3,Grant,Pakistan,"https://web.archive.org/web/20110106025313/http://saudiembassy.net/latest_news/news09241002.aspx, Government Source (Donor/Recipient)",1,,,,,,,Checked,1,ODA-like,2,Development,1,Active,1,,,,,,,,,,,,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,FALSE,FALSE,,,,,,14-09-04 11:53,Charsadda,"Arshad Abdullah, Pakistani Minister for Law and Regional Parliamentary Affairs ; Abdulaziz Al-Ghadeer, Saudi Ambassador to Pakistan ",1,,3,6,9
32512,Saudi Arabia,Ambassador Distributes Food 2000 Baskets at the Islamic University of Bahawalpur,2010,FALSE,"The Campaign of the Custodian of the Two Holy Mosques for the Relief of the Pakistani People distributed 2000 food baskets to flood-stricken families at the Islamic University in Bahawalpur, south of Punjab, Pakistan. The distribution ceremony, held at the Islamic University of Bahawalpur, was attended by Saudi Ambassafor to Pakistan Abdulaziz bin Ibrahim Al-Ghadeer.",700,Emergency Response,,Completion,3,Grant,Pakistan,"https://global.factiva.com/aa/?ref=SAUDPA0020101010e6a900018&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=SAUDPA0020101010e6a900018&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.saudiembassy.net/files/PDF/Publications/Focus/2010/10-FOCUS-10-12.pdf, NGO/Civil Society/Advocacy; http://www.saudiembassy.net/latest_news/news10101001.aspx, NGO/Civil Society/Advocacy",4,,,,,,,Checked,1,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=SAUDPA0020101010e6a900018&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=SAUDPA0020101010e6a900018&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",,,,,,,,,,,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,FALSE,FALSE,,,,,,14-09-04 11:55,"Bahawalpur, Punjab",,1,,2,6,8
32449,Saudi Arabia,Saudi Civil Defense send rescue team to Pakistan,2010,FALSE,"Saudi King Abdullah issued a directive in August 2010 sending teams from the Saudi Civil Defense and Border Guards to Pakistan for rescue operations following flooding as part of larger flood relief efforts. At least 130 members of Saudi Civil Defense were sent with machinery and generators. The first rescue team was dispatched August 23, 2010 and the second on August 24, 2010. There is no information on the status of the rescue operations nor an exact count of the number dispatched. ",700,Emergency Response,,Completion,3,Free-standing technical assistance,Pakistan,"https://global.factiva.com/aa/?ref=PMPLUN0020100824e68o0018m&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=ASMESG0020100830e68p0001g&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.saudiembassy.net/press-releases/press08231001.aspx, Government Source (Donor/Recipient)",3,,,,,,,Checked,1,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=PMPLUN0020100824e68o0018m&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=ASMESG0020100830e68p0001g&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",,,,,,,,,,,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,FALSE,FALSE,,,,,,15-08-11 11:46,Karachi,"Abdul Aziz Al-Ghdeer, Saudi Ambassador to Pakistan ; Dr. Ishrat ul Ebad Khan, Sindh Governor (Pakistan)",1,,4,6,10
32513,Saudi Arabia,Saudi Ambassador Distributes 4000 Food Baskets (linked to project ID#32512),2010,FALSE,"Saudi Ambassador to Pakistan Abdulaziz bin Ibrahim Al-Ghadeer helped distribute 4000 food baskets to flood victims in Rahim Yar Khan, south of Punjab, Pakistan on October 9, 2010. His visit was part of a follow up on humanirarian aid Saudi Arabia provided.",700,Emergency Response,,Completion,3,Grant,Pakistan,"https://global.factiva.com/aa/?ref=SAUDPA0020101010e6a900019&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://web.archive.org/web/20110106030658/http://saudiembassy.net/latest_news/news10101001.aspx, Government Source (Donor/Recipient); http://www.saudiembassy.net/latest_news/news10101001.aspx, NGO/Civil Society/Advocacy",3,,,,,,,Checked,1,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=SAUDPA0020101010e6a900019&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",,,,,,,,,,,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,FALSE,FALSE,,,,,,14-10-03 15:45,Rahim Yar Khan,,1,,4,6,10
32417,Saudi Arabia,Saudi Ambassador Gives 5 Tons of Rice ,2010,FALSE,"On Aug. 16, 2010, the Saudi ambassador in Pakistan, Abdul Aziz Ibrahim al- Ghadeer, handed over five tons of rice to the Jamaat e Islami Secretary General, Liaquat Baloch as Saudi donation for the flood affected people, at a ceremony held at Hafizabad.",700,Emergency Response,,Completion,3,Grant,Pakistan,"https://global.factiva.com/aa/?ref=PAKOFN0020100817e68g0000o&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",1,,"Jamaat-e-Islami (Pakistan), Political Party",,,,,Checked,1,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=PAKOFN0020100817e68g0000o&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",,,,,,,,,,,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,FALSE,FALSE,,,,,,14-06-19 13:22,,"Liaquat Baloch, Secretary General (Jamaat-e-Islami (Pakistan)); Abdul Aziz Ibrahim al- Ghadeer, Saudi Ambassador to Pakistan ",1,,0,7,7
32810,Saudi Arabia,Saudi Arabia Delivers Humanitarian Equipment to Victims of Earthquake,2013,FALSE,"The government of Saudi Arabia donated humanitarian relief assistance to the Government of Pakistan in a simple ceremony at Lahore on December 6, 2013. The humanitarian relief aid comprised of 1,000 tents and 5,000 blankets. The relief items were handed over by Saudi Ambassador, Dr. Adbul Aziz Al-Ghadeer to Chairman National Disaster Management Authority (NDMA), Major General Muhammad Saeed Aleem.",700,Emergency Response,,Completion,3,Grant,Pakistan,"https://global.factiva.com/aa/?ref=ASFROP0020131207e9c700025&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.pakistantoday.com.pk/2013/12/06/city/lahore/s-arabia-donates-relief-goods-quake-affectees/, Media Report, including Wikileaks",2,,"National Disaster Management Authority (Pakistan), Government Agency",,,"National Disaster Management Authority (Pakistan), Government Agency",1,Checked,1,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=ASFROP0020131207e9c700025&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",,,,,,,,,,,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,FALSE,FALSE,,,,,,14-09-04 10:26,"Awaran, Kech","Major General Muhammad Saeed Aleem, Chairman (National Disaster Management Authority (Pakistan)); Dr. Abdul Aziz Al-Ghadeer, Saudi Ambassador to Pakistan ",1,,1,7,8
32553,Saudi Arabia,Saudi Arabia Donates Medical Materials to Pakistan,2012,FALSE,"In 2012, Saudi Arabia donated medical materials and equipment to the state Khyber Bakhtoon Khwa in Pakistan. ",120,Health,"medical materials, equipment and devices",Completion,3,Grant,Pakistan,"https://global.factiva.com/aa/?ref=SAUDPA0020120113e81d0001m&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.saudiembassy.net/latest_news/news01131203.aspx, Government Source (Donor/Recipient)",2,,,"Saudi Fund for Development, Government Agency",1,,,Checked,1,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=SAUDPA0020120113e81d0001m&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",,,,,,,,,,,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,FALSE,FALSE,,,,,,14-06-19 14:31,Khyber Bakhtoon Khwa,"Dr. Gedo Sabata Nelly, Pakistan Representative (World Health Organization (WHO)); Zaher Ali Shah, Health Minister (Pakistan)",1,,3,7,10
32465,Saudi Arabia,Saudi Arabia sends 8 cargo planes for flood relief in Pakistan,2010,FALSE,"On August 28, 2010 eight Saudi cargo planes carrying relief goods, medical officials, 300 tons of dates, and two field hospitals also consisting of 200 beds arrived at Chaklala Aribase in Pakistan as part of larger flood relief efforts. Saudi Arabia has donated a cumulative total of 170 million USD so far to Pakistan's flood victims. Linked to project ID #32466. ",700,Emergency Response,,Completion,3,Grant,Pakistan,"https://global.factiva.com/aa/?ref=NQTAB00020100828e68s00002&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://web.archive.org/web/20110106022847/http://saudiembassy.net/latest_news/news08281002.aspx, Government Source (Donor/Recipient); http://www.asianimage.co.uk/news/8359904.Saudi_Arabia_sends_eight_aid_planes_to_Pakistan/, Media Report, including Wikileaks; http://dunyanews.tv/index.php/en/Entertainment/15804-Fashion-show-to-showcase-bridal-collection, Media Report, including Wikileaks; http://www.thefreelibrary.com/Eight+planes+with+relief+goods+arrive+from+Saudi+Arabia.-a0236043179, Media Report, including Wikileaks",5,,,,,,,Checked,1,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=NQTAB00020100828e68s00002&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",,,,,,,,,,,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,FALSE,FALSE,,,,,,14-07-22 11:44,"Chaklala Airbase, Sindh, Punjab","Brigadier Mohammed Shu'eib, Commander of Chaklala Base ",1,,6,6,12
32336,Saudi Arabia,Saudi Arabian Earthquake Relief Housing Project Completed,2010,TRUE,"As of January 2010 Saudi Arabia completed 3000 pre-fabricated houses in earthquake hit Muzaffarabad. Saudi Public Assistance for Pakistan Earthquake Victims undertook the project, similar to other initiatives in Bagh, and families have been living in these pre-fabricated houses since 2005.",700,Emergency Response,,Completion,3,Grant,Pakistan,"https://global.factiva.com/aa/?ref=ASMPAK0020100122e61l00008&pp=1&fcpil=en&napc=S&sa_from, Media Report, including Wikileaks; http://idsa.in/system/files/POKNewsDigest022010.pdf.pdf, Academic Journal Article; http://www.thenews.com.pk/TodaysPrintDetail.aspx?ID=219884&Cat=6&dt=1/17/2010, Media Report, including Wikileaks",3,,,Saudi Public Assistance for Pakistan Earthquake Vicitms,1,,,Checked,1,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=ASMPAK0020100122e61l00008&pp=1&fcpil=en&napc=S&sa_from, Media Report, including Wikileaks",,,,,,,,,,,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,FALSE,FALSE,,,,,,14-10-03 16:30,Balakot,"Dr.Khalid M. Al-Othmani, Regional Director (Saudi Public Assistance for Pakistan Earthquake Vicitms)",1,,3,6,9
32485,Saudi Arabia,Saudi Envoy Visits Hyderabad and Distributes Relief Goods to Pakistani Army,2010,FALSE,"On September 16, 2010 Saudi Arabia donated relief goods to Pakistan, including over 70 generators, 2 heavy loaders, 34 boats, 23 vehicles, one ambulance, tubes, socks, ropes, life jackets, dresses, and other items worth tens of millions of rupees to the Pakistani Army for flood relief. At a simple ceremony in Hyderabad, Saudi Ambassador to Pakistan Abdul Aziz bin Ibrahim Al-Ghadeer presented the donation to General Officer Commanding Major General Shaukat Iqbal. ",700,Emergency Response,,Completion,3,Grant,Pakistan,"https://global.factiva.com/aa/?ref=PMPLUN0020100917e69g000mf&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.thefreelibrary.com/Saudi+Envoy+visits+Hyderabad,+distribute+relief+goods.-a0237553776, Media Report, including Wikileaks; http://www.dawn.com/news/563409/saudi-envoy-hands-over-rescue-goods-to-pak-army, Media Report, including Wikileaks",3,,,,,,,Checked,1,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=PMPLUN0020100917e69g000mf&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",,,,,,,,,,,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,FALSE,FALSE,,,,,,14-06-20 10:18,Hyderabad,"Abdul Aziz bin Ibrahim Alghadir, Saudi Ambassador to Pakistan ; Major General Shaukat Iqbal, General Officer Commanding ",1,,2,6,8
32850,Saudi Arabia,Saudi Relief Convoy of 256 Trucks Dispatched ,2011,FALSE,"In Oct 2011, Custodian of the Two Holy Mosques' Campaign for the Relief of the Pakistani People distributed 30,000 blankets, 50,000 food baskets, and 5,000 tents. These relief supplies will be distributed in 34 districts by 265 trucks. The campaign is being supervised by Crown Prince Nayef bin Abdulaziz.",700,Emergency Response,,Completion,3,Grant,Pakistan,"https://web.archive.org/web/20120601065823/http://saudiembassy.net/latest_news/news11291101.aspx, Government Source (Donor/Recipient); https://web.archive.org/web/20120601063829/http://saudiembassy.net/latest_news/news10131102.aspx, Government Source (Donor/Recipient)",2,,,,,,,Checked,1,ODA-like,2,Development,1,Active,1,,,,,,,,,,,,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,FALSE,FALSE,,,,,,14-10-06 13:20,"Sindh, Balochistan",,1,,3,6,9
