project_id,donor,title,year,year_uncertain,description,crs_sector_code,crs_sector_name,sector_comment,status,status_code,flow,all_recipients,sources,sources_count,funding_agency,implementing_agency,donor_agency,donor_agency_count,recipient_agencies,recipient_agencies_count,verified,verified_code,flow_class,flow_class_code,intent,intent_code,active,active_code,factiva_sources,amount,currency,deflators_used,exchange_rates_used,usd_defl,start_actual,start_planned,end_actual,end_planned,recipient_count,recipient_condensed,recipient_cow_code,recipient_oecd_code,recipient_oecd_name,recipient_iso3,recipient_iso2,recipient_un_code,recipient_imf_code,debt_uncertian,line_of_credit,is_cofinanced,is_ground_truthing,loan_type,interest_rate,maturity,grace_period,grant_element,updated_at,location_details,contacts,is_official_finance
34335,Qatar,Reach Out to Asia Builds Schools in Swat Valley,2010,FALSE,"Pakistan has faced humanitarian crises: The 2005 earthquake in North West Frontier Province, Azad Jammu and Kashmir, internal displacement of populations in the aftermath of military operations in Swat and other tribal regions against the Taliban in 2009, and in 2010, intense floods that devastated the region. Rota reacted almost immediately to the situation in Swat by increasing access to educational facilities, improving the quality of education and providing psychosocial support. Rota committed to building two secondary schools, rehabilitating 40 primary, middle and secondary schools, supplying educational materials to 42 schools, implementing a training programme for 280 teachers and operating youth development initiatives through sports.",110,Education,,Implementation,2,Monetary Grant (excluding debt forgiveness),Pakistan,"http://thepeninsulaqatar.com/news/qatar/283628/thousands-of-kids-benefit-from-rota-project-in-swat, Media Report, including Wikileaks; http://cdn.qf.com.qa/app/media/8129, Government Source (Donor/Recipient); http://www.gulf-times.com/qatar/178/details/367540/rota-opens-school-in-pakistan%E2%80%99s-swat-area, Media Report, including Wikileaks",3,"Reach Out to Asia (ROTA), National NGO","CARE, International NGO","Reach Out to Asia (ROTA), National NGO",1,,,Check,0,ODA-like,2,Development,1,Active,1,,,,,,,,,,,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,FALSE,FALSE,,,,,,14-08-04 14:43,Swat Valley,"Waleed Rauf, Country Director (CARE)",0
33345,Qatar,Various Qatari charities raise $16 million for Pakistan flood relief,2010,FALSE,"In September 2010, four Qatari charities led a joint fundraising campaign to provide relief to flood victims in Pakistan. Shaikh Mohammed Bin Al Thani Charity Foundation, Sheikh Thani Bin Abdullah Foundation for Humanitarian Services (RAF), Qatar Charity and Qatar Red Crescent joined to raise 58 million QR. The projects that will be implemented under this campaign are unclear. ",700,Emergency Response,,Pipeline: Pledge,12,In-kind Grant (Goods or Services),Pakistan,"http://theislamicnews.com/16-million-pakistan-flood-charity-qatar/, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=PMPLUN0020100920e69k0007p&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",2,"Shaikh Mohammed Bin Al Thani Charity Foundation, Government Agency; Sheikh Thani bin Abdullah Foundation for Humanitarian Services (RAF), Government Agency; Qatar Red Crescent Society, National NGO; Qatar Charity, National NGO",,"Shaikh Mohammed Bin Al Thani Charity Foundation, Government Agency; Sheikh Thani bin Abdullah Foundation for Humanitarian Services (RAF), Government Agency; Qatar Red Crescent Society, National NGO; Qatar Charity, National NGO",4,,,Check,0,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=PMPLUN0020100920e69k0007p&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",,,,,,,,,,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,TRUE,FALSE,,,,,,14-08-04 14:46,,,0
32295,Qatar,Qatari philanthropy aids Pakistan flood victims,2010,FALSE,"On October 13, 2010 Sheikh Ali Bin Abdullah Bin Thani Al Thani's philanthropist organization in Qatar announced 30 million USD for rebuilding infrastructure and 100 million USD to follow the next year as part of relief efforts for flood stricken areas of Pakistan. The announcement was made to President Asif ali Zardari following a meeting with a Qatari delegation, during which President Zardari requested assitance with rebuilding. ",700,Emergency Response,,Pipeline: Pledge,12,Monetary Grant (excluding debt forgiveness),Pakistan,"https://global.factiva.com/aa/?ref=NBFSTA0020101014e6ac0005l&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=PAKOFN0020101014e6ad00004&pp=1&fcpil=en&napc=S&sa_from=, Government Source (Donor/Recipient); http://www.pid.gov.pk/press13-10-2010.htm, Government Source (Donor/Recipient)",3,"Sheikh Thani bin Abdullah Foundation for Humanitarian Services (RAF), Government Agency",,Sheikh Thani bin Abdullah Foundation for Humanitarian Services (RAF),1,,,Check,0,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=NBFSTA0020101014e6ac0005l&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=PAKOFN0020101014e6ad00004&pp=1&fcpil=en&napc=S&sa_from=, Government Source (Donor/Recipient)",130000000,USD,0.95,1,"136,842,105",,,,,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,FALSE,FALSE,,,,,,14-07-25 10:53,,"Farhatullah Babar, Spokesperson to President of Qatar ",0
32305,Qatar,Qatar Charity gives QAR 40 million in second phase of Pakistani flood relief,2010,FALSE,"In October 2010, Qatar Charity announced implementation of the second phase of its emergency aid program to Pakistan, providing 40 million QR of aid. The phase was expected to last one year and three months, providing temporary shelter, water, assistance to small enterprises, and construction of bridges and roads. In April 2011, it was announced that Qatar Charity handed over 1000 units of temporary shelter for victims affected by floods in southern Pakistan's Punjab province in the context of the community mobilization shared with citizens. Qatar Charity started building 3000 housing units as part of its second relief phase 'early recovery' at a cost of 37.5 million riyals. The program is expected to benefit 307,000 affected people and includes the provision of shelter and ownership of income-generating projects in addition to the reconstruct schools destroyed by the floods. The provision of temporary shelter for one family costs SR 2700. This follows the first phase which cost 13 million QR and assisted 35000 people. Children's milk, animal food, flour, oil, as well as tents, sheets, water tanks, kitchen utensils, first aid bags, torches and restrooms were provided in the first phase. The materials were brought from QC's warehouse in Dubai and from Pakistan at the cost of QR2.5 million. ",700,Emergency Response,,Completion,3,In-kind Grant (Goods or Services),Pakistan,"https://global.factiva.com/aa/?ref=QATRIB0020101010e6aa00003&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=OANA000020110411e74b001mk&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",2,"Qatar Charity, National NGO",,"Qatar Charity, National NGO",1,,,Check,0,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=QATRIB0020101010e6aa00003&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=OANA000020110411e74b001mk&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",40000000,QAR,0.95,3.65,"11,535,689",,,,,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,FALSE,FALSE,,,,,,14-08-04 14:26,Punjab ,"Mohamed Wahi, head of operations in Pakistan (Qatar Charity)",0
32275,Qatar,Qatar Charity launches Rajanpur Integrated Development Programme,2010,FALSE,"In January 2010 Qatar Charity launched the Rajanpur Integrated Development Programme, with initial funds estimated at 24 million Rupees. The program, located in Southern Punjab, aims to build capacity of local communities in reducing disaster risk, provide safe drinking water, and promote health and hygiene. The program was launched with District Coordiantion Officer Mr. Muhammad Amin Chaudhry and Qatar Charity is operating in a field office in Rajanpur to oversee the operations.",140,Water Supply and Sanitation,,Pipeline: Commitment,11,Monetary Grant (excluding debt forgiveness),Pakistan,"https://global.factiva.com/aa/?ref=PMDAFP0020100129e61t00015&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.qcharity.org.pk/programmes/development.html, Implementing/Intermediary Agency Source; http://app.com.pk/en_/index.php?option=com_content&task=view&id=95179, Media Report, including Wikileaks",3,"Qatar Charity, National NGO",,"Qatar Charity, National NGO",1,,,Check,0,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=PMDAFP0020100129e61t00015&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",24000000,PKR,0.95,85,"297,214",28-Jan-10,,,,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,FALSE,FALSE,,,,,,14-07-25 11:02,"Rajanpur District, priority in west part of district, mainly in Pajad","Muhammad Amin Chaudhry, District Coordination Officer ",0
32316,Qatar,Qatar plans to Donate 1 Billion to Sudan Reconstruction Fund,2010,FALSE,"In Feb 2010, the Qatari emir stated the country's plan to contribute to 1 billion USD to a fund for reconstructing Sudan.",160,Other Social infrastructure and services,,Pipeline: Pledge,12,Vague-TBD,Sudan,"https://global.factiva.com/aa/?ref=LBA0000020100223e62n001bi&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",1,,,,,,,Suspicious,0,Vague (Official Finance),2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=LBA0000020100223e62n001bi&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","1,000,000,000",USD,0.95,1,"1,052,631,579",,,,,1,Sudan,625,278,Sudan,SDN,SD,736,732,FALSE,FALSE,FALSE,FALSE,,,,,,14-08-05 10:47,,"Sheikh Hamad bin Khalifa al-Thani, ",0
32320,Qatar,Qatar Wraps up International Donors Conference with 200 Million USD Donation to Darfur,2010,FALSE,"In Mar 2010, at the International Donors Conference for the Reconstruction of Darfur, Qatar was one of several contributors for development projects in Darfur, Sudan. Qatar pledged 200 million. Other contributors were Islamic Development Bank who pledged 355 million dollars, the European Union 95 million, Turkey 70 million, Algeria 10 million, Belgium 5 million euros (6.8 million dollars), and Australia 4 million dollars. The aid from various nations will be used for development projects including agriculture, animal breeding, housing and urban planning, water supply, health, education, rural development, women empowerment and capacity building. Sources are unclear whether Qatar has completed the transaction of its donation.",700,Emergency Response,,Pipeline: Pledge,12,Monetary Grant (excluding debt forgiveness),Sudan,"https://global.factiva.com/aa/?ref=TRENDE0020100322e63m00001&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",1,,,,,,,Suspicious,0,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=TRENDE0020100322e63m00001&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","200,000,000",USD,0.95,1,"210,526,316",,,,,1,Sudan,625,278,Sudan,SDN,SD,736,732,FALSE,FALSE,FALSE,FALSE,,,,,,14-07-28 17:11,Darfur,"Ahmed Abul Gheit, Egyptian Foreign Minister ",0
32317,Qatar,Qatar offers 50 Million Qatari Riyals for humanitarian aid to Sudan's Darfur,2010,FALSE,"On July 11, 2010, Qatar announced that it has offered 50 million QR (13.7 million USD) for humanitarian aid to conflict-plagued Darfur. The emergency relief aid is to help Sudan while it is undergoing internal conflict. The aid was delivered on July 12, 2010. ",700,Emergency Response,,Completion,3,Grant (Vague),Sudan,"https://global.factiva.com/aa/?ref=XNEWS00020100711e67b005ei&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.sudantribune.com/spip.php?article35637, Media Report, including Wikileaks",2,,,,,,,Checked,1,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=XNEWS00020100711e67b005ei&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","50,000,000",QAR,0.95,3.65,"14,419,611",,,,,1,Sudan,625,278,Sudan,SDN,SD,736,732,FALSE,FALSE,FALSE,FALSE,,,,,,14-07-28 15:42,,,1
33038,Qatar,Silatech supports Microfinance Bank in Syria,2010,FALSE,"In March 2010, Qatar's Silatech launched a project to provide technical and financial assistance to support the Syrian Ebda'a Microfinance Bank in providing youth financial services, including the launched of dedicated youth loans and savings products. The project has since been put on hold.",240,Banking and Financial Services,,Suspended,4,Free-standing technical assistance,Syria,"http://www.silatech.com/home/project-countries/syria, Government Source (Donor/Recipient); http://www.silatech.com/ar-qa/home_ar-QA/project-countries/syria, Government Source (Donor/Recipient)",2,"Silatech, Foundation",,"Silatech, Foundation",1,,,Check,0,ODA-like,2,Development,1,Active,1,,,,,,,,,,,1,Syria,652,573,Syria,SYR,SY,760,463,FALSE,FALSE,FALSE,FALSE,,,,,,14-07-24 14:03,,,0
32995,Qatar,Qatar funded Youth Small Enterprise Loan Fund,2010,FALSE,"In January 2010, Qatar's Silatech launched the Youth Small Enterprise Loan Fund, which provides technical and financial assistance to support SEDF in providing youth financial services. The program is currently active.",240,Banking and Financial Services,,Implementation,2,In-kind Grant (Goods or Services),Yemen,"http://www.silatech.com/home/project-countries/yemen, Government Source (Donor/Recipient); http://www.docstoc.com/docs/32256471/Silatech-and-Small-Enterprise-Development-Fund-_SEDF_-partner-to, Government Source (Donor/Recipient)",2,"Silatech, Foundation; Small Enterprise Development Fund, Government Agency",,"Silatech, Foundation; Small Enterprise Development Fund, Government Agency",2,,,Check,0,ODA-like,2,Development,1,Active,1,,,,,,,,,,,1,Yemen,678,580,Yemen,YEM,YE,887,474,FALSE,FALSE,FALSE,FALSE,,,,,,14-07-24 14:05,,,0
